22.679,21.525,11.253,9.234,9.038,8.973,11.641,9.084,10.418,8.975,19.467,19.474,10.991,18.6,18.86,19.967,18.086,57.128,18.324,18.935,27.866,32.159,27.183,28.554,17.577,29.083,25.415,28.039,24.081,32.233
23.976,22.755,11.621,10.951,9.036,9.568,10.976,9.332,12.597,9.455,19.794,19.4,11.062,19.136,19.946,19.087,17.352,32.717,17.444,19.367,27.123,30.898,28.058,40.929,18.417,35.131,32.642,32.59,30.483,39.974
24.174,23.04,11.399,11.002,11.051,10.729,10.793,9.039,10.493,9.192,19.679,18.659,11.003,18.652,19.571,19.085,17.285,32.181,17.165,41.176,28.525,30.878,29.951,32.876,19.422,34.183,26.961,28.58,25.922,34.29
12.352,18.344,9.547,7.8,7.228,7.257,11.284,8.003,8.987,7.602,16.421,16.481,9.103,16.207,16.18,16.08,14.779,28.682,14.887,16.411,23.467,26.935,23.655,24.298,15.235,27.26,23.849,26.493,21.613,36.264
21.194,22.291,11.733,9.595,9.678,9.312,11.088,9.35,11.036,11.353,20.357,19.893,11.762,22.555,20.111,19.848,17.811,33.77,18.291,20.727,28.119,32.027,28.636,28.657,18.191,32.467,27.726,27.507,22.818,41.162
11.909,17.854,8.821,7.455,7.44,7.566,9.126,8.221,10.361,7.891,18.344,18.947,11.72,17.521,24.049,19.08,22.275,34.014,25.111,24.583,32.751,36.341,27.963,29.087,17.828,31.27,33.825,35.5,25.515,32.995
15.725,21.123,11.089,9.174,8.97,8.612,15.65,12.067,12.817,13.148,21.042,23.432,15.479,23.294,24.624,21.051,23.164,43.076,19.846,16.588,23.501,25.998,22.625,22.701,14.299,47.926,27.217,25.4,23.86,27.077
13.654,22.765,13.595,11.324,8.6,8.437,9.965,8.616,10.022,11.924,20.727,19.821,11.488,20.035,26.029,26.958,26.33,35.248,19.017,26.479,33.629,40.508,37.265,29.333,18.666,32.203,31.574,35.843,33.89,33.139
13.53,24.385,14.44,12.202,11.795,10.495,12.092,10.503,12.556,13.298,20.356,22.151,13.507,22.837,20.548,21.443,15.868,30.257,16.04,20.723,25.292,27.987,24.969,25.494,16.624,27.923,24.556,27.595,23.667,39.642
17.581,18.953,9.622,8.5,7.664,7.628,9.181,7.847,10.49,7.836,17.629,17.385,9.846,16.737,16.82,16.916,15.411,30.641,16.128,18.006,34.057,32.845,27.208,28.321,17.871,31.129,27.653,30.328,25.361,35.246
